class,class_index,point,start_frame,stop_frame,video_id
pick-up_plug,12,348,334,366,00_Desk2
plug_plug,15,507,478,541,00_Desk2
switch-on_socket,30,842,828,865,00_Desk2
pick-up_tape,13,1083,1070,1099,00_Desk2
scan_card-reader,27,360,348,375,00_Door1
open_door,8,443,410,479,00_Door1
scan_card-reader,27,240,228,252,00_Door2
open_door,8,318,297,343,00_Door2
pull_drawer,19,195,173,220,00_Printer1
push_drawer,21,236,220,257,00_Printer1
press_button,17,447,435,456,00_Printer1
press_button,17,508,500,520,00_Printer1
pull_drawer,19,235,215,261,00_Printer2
push_drawer,21,277,261,295,00_Printer2
press_button,17,498,489,510,00_Printer2
press_button,17,588,578,601,00_Printer2
pick-up_cup,10,420,404,437,00_Sink1
turn_tap,33,535,525,546,00_Sink1
rinse_cup,25,619,547,697,00_Sink1
turn_tap,33,704,694,717,00_Sink1
press_button,17,990,983,1004,00_Sink1
take_cup,31,1169,1151,1188,00_Sink1
put_cup,23,1370,1348,1396,00_Sink1
pick-up_jar,11,1655,1645,1669,00_Sink1
put_jar,24,1842,1822,1864,00_Sink1
open_jar,9,1912,1890,1938,00_Sink1
take_spoon,32,2055,2035,2077,00_Sink1
stir_spoon,29,2336,2262,2412,00_Sink1
pick-up_plug,12,86,73,99,01_Desk1
insert_wire,4,444,387,505,01_Desk1
switch-on_socket,30,581,558,603,01_Desk1
pick-up_tape,13,768,754,783,01_Desk1
place_tape,14,840,823,859,01_Desk1
pick-up_plug,12,173,144,205,01_Desk2
plug_plug,15,268,214,323,01_Desk2
insert_wire,4,547,489,607,01_Desk2
switch-on_socket,30,760,736,785,01_Desk2
pick-up_tape,13,977,957,998,01_Desk2
place_tape,14,1096,1073,1125,01_Desk2
scan_card-reader,27,99,79,125,01_Door2
open_door,8,152,137,172,01_Door2
pull_drawer,19,157,94,222,01_Printer1
push_drawer,21,248,222,276,01_Printer1
press_button,17,334,310,362,01_Printer1
press_button,17,393,380,413,01_Printer1
pull_drawer,19,154,107,201,01_Printer2
push_drawer,21,232,201,269,01_Printer2
press_button,17,300,280,323,01_Printer2
press_button,17,366,341,394,01_Printer2
pick-up_cup,10,153,143,166,01_Sink1
turn_tap,33,240,229,252,01_Sink1
rinse_cup,25,330,246,417,01_Sink1
turn_tap,33,424,406,441,01_Sink1
put_cup,23,543,520,569,01_Sink1
press_button,17,583,569,602,01_Sink1
take_cup,31,681,669,699,01_Sink1
put_cup,23,812,799,826,01_Sink1
pick-up_jar,11,914,899,931,01_Sink1
put_jar,24,998,985,1014,01_Sink1
take_spoon,32,1042,1034,1052,01_Sink1
open_jar,9,1116,1094,1141,01_Sink1
scoop_spoon,28,1185,1164,1207,01_Sink1
pour_spoon,16,1235,1230,1241,01_Sink1
stir_spoon,29,1325,1262,1391,01_Sink1
pick-up_cup,10,166,156,181,01_Sink2
turn_tap,33,254,240,270,01_Sink2
rinse_cup,25,304,262,347,01_Sink2
fill_cup,0,378,348,410,01_Sink2
turn_tap,33,379,351,412,01_Sink2
put_cup,23,504,486,527,01_Sink2
press_button,17,542,527,561,01_Sink2
take_cup,31,649,638,663,01_Sink2
put_cup,23,768,757,783,01_Sink2
pick-up_jar,11,859,846,875,01_Sink2
put_jar,24,937,924,952,01_Sink2
take_spoon,32,1001,983,1022,01_Sink2
open_jar,9,1088,1072,1108,01_Sink2
pour_spoon,16,1181,1175,1192,01_Sink2
stir_spoon,29,1277,1203,1352,01_Sink2
pick-up_plug,12,250,226,276,02_Desk1
plug_plug,15,476,437,519,02_Desk1
insert_wire,4,667,567,770,02_Desk1
switch-on_socket,30,945,926,967,02_Desk1
pick-up_tape,13,1159,1140,1182,02_Desk1
place_tape,14,1281,1258,1303,02_Desk1
scan_card-reader,27,119,100,141,02_Door1
open_door,8,202,175,235,02_Door1
scan_card-reader,27,123,104,144,02_Door2
open_door,8,200,181,224,02_Door2
pull_drawer,19,136,97,177,02_Printer1
push_drawer,21,209,177,245,02_Printer1
press_button,17,402,385,423,02_Printer1
press_button,17,465,447,485,02_Printer1
pick-up_cup,10,127,112,148,02_Sink1
turn_tap,33,245,225,271,02_Sink1
rinse_cup,25,269,232,308,02_Sink1
fill_cup,0,332,308,359,02_Sink1
put_cup,23,496,472,524,02_Sink1
press_button,17,537,524,552,02_Sink1
take_cup,31,727,705,753,02_Sink1
put_cup,23,886,860,912,02_Sink1
pick-up_jar,11,1038,1012,1066,02_Sink1
take_spoon,32,1209,1197,1219,02_Sink1
open_jar,9,1270,1251,1288,02_Sink1
scoop_spoon,28,1311,1294,1332,02_Sink1
pour_spoon,16,1374,1367,1388,02_Sink1
pick-up_plug,12,219,204,236,03_Desk1
plug_plug,15,296,273,324,03_Desk1
insert_wire,4,469,429,509,03_Desk1
switch-on_socket,30,611,591,635,03_Desk1
pick-up_tape,13,870,852,892,03_Desk1
pick-up_plug,12,214,192,238,03_Desk2
plug_plug,15,324,290,361,03_Desk2
insert_wire,4,520,473,572,03_Desk2
switch-on_socket,30,673,653,698,03_Desk2
pick-up_tape,13,941,923,965,03_Desk2
place_tape,14,1073,1048,1102,03_Desk2
scan_card-reader,27,163,152,176,03_Door1
open_door,8,234,211,261,03_Door1
scan_card-reader,27,195,182,212,03_Door2
open_door,8,255,242,270,03_Door2
pull_drawer,19,167,130,206,03_Printer1
push_drawer,21,228,210,250,03_Printer1
press_button,17,431,415,450,03_Printer1
press_button,17,556,541,574,03_Printer1
pull_drawer,19,210,180,242,03_Printer2
push_drawer,21,270,247,295,03_Printer2
