video,frames
00_Desk1,1502
00_Desk2,1534
00_Door1,490
00_Door2,351
00_Printer1,647
00_Printer2,701
00_Sink1,2635
00_Sink2,2334
01_Desk1,926
01_Desk2,1183
01_Door1,255
01_Door2,201
01_Printer1,512
01_Printer2,455
01_Sink1,1486
01_Sink2,1445
02_Desk1,1346
02_Desk2,1011
02_Door1,242
02_Door2,234
02_Printer1,554
02_Printer2,548
02_Sink1,1588
02_Sink2,1608
03_Desk1,1130
03_Desk2,1172
03_Door1,280
03_Door2,293
03_Printer1,671
03_Printer2,632
03_Sink1,1890
03_Sink2,1999
04_Desk1,1215
04_Desk2,1189
04_Door1,332
04_Door2,353
04_Printer1,638
04_Printer2,592
04_Sink1,2078
04_Sink2,1985
05_Row1,3131
05_Row2,2380
05_Row3,2856
05_Treadmill1,5722
05_Treadmill2,6207
05_Treadmill3,5039
06_Row1,1532
06_Row2,1408
06_Row3,1369
06_Treadmill1,4687
06_Treadmill2,5097
06_Treadmill3,4773
07_Row1,2029
07_Row2,1948
07_Row3,1879
07_Treadmill1,5113
07_Treadmill2,4933
07_Treadmill3,5080
