class,class_index,point,start_frame,stop_frame,video_id
"['cupboard', 'open']","['3', '3']",14,4,101,P01_01
"['light', 'turn-on']","['114', '6']",168,131,185,P01_01
"['drawer', 'open']","['8', '3']",751,749,786,P01_01
"['cup', 'take']","['13', '0']",14396,14393,14426,P01_01
"['cupboard', 'open']","['3', '3']",14454,14444,14466,P01_01
"['cup', 'insert']","['13', '5']",14475,14464,14490,P01_01
"['container', 'take']","['21', '0']",14590,14557,14616,P01_01
"['container', 'put']","['21', '1']",14667,14651,14674,P01_01
"['container', 'open']","['21', '3']",14778,14760,14782,P01_01
"['container', 'insert']","['21', '5']",14811,14797,14831,P01_01
"['lid', 'close']","['6', '4']",14892,14874,14910,P01_01
"['container', 'insert']","['21', '5']",15006,14989,15018,P01_01
"['plate', 'take']","['2', '0']",15090,15071,15099,P01_01
"['fridge', 'close']","['12', '4']",877,877,940,P01_01
"['plate', 'put']","['2', '1']",15144,15140,15238,P01_01
"['drawer', 'open']","['8', '3']",15274,15245,15298,P01_01
"['drawer', 'take']","['8', '0']",15332,15279,15346,P01_01
"['drawer', 'put']","['8', '1']",15403,15380,15433,P01_01
"['drawer', 'open']","['8', '3']",15512,15504,15541,P01_01
"['fork', 'take']","['14', '0']",15573,15536,15574,P01_01
"['fork', 'put']","['14', '1']",15600,15580,15608,P01_01
"['spatula', 'take']","['20', '0']",15656,15636,15662,P01_01
"['vegetable', 'mix']","['94', '10']",15808,15658,15857,P01_01
"['vegetable', 'put']","['94', '1']",1109,1100,1133,P01_01
"['container', 'take']","['21', '0']",16269,16261,16289,P01_01
"['fridge', 'open']","['12', '3']",16407,16392,16423,P01_01
"['container', 'insert']","['21', '5']",16428,16422,16470,P01_01
"['fridge', 'close']","['12', '4']",16482,16478,16501,P01_01
"['spatula', 'take']","['20', '0']",16621,16602,16635,P01_01
"['vegetable', 'mix']","['94', '10']",16747,16640,16755,P01_01
"['grater', 'take']","['96', '0']",16850,16834,16870,P01_01
"['grater', 'take']","['96', '0']",16874,16834,16876,P01_01
"['carrot', 'take']","['41', '0']",16869,16862,16884,P01_01
"['carrot', 'cut']","['41', '7']",16983,16928,17065,P01_01
"['cupboard', 'open']","['3', '3']",1264,1254,1277,P01_01
"['grater', 'drop']","['96', '59']",17078,17075,17131,P01_01
"['carrot', 'grate']","['41', '77']",17380,17233,17608,P01_01
"['carrot', 'grate']","['41', '77']",17618,17611,17867,P01_01
"['carrot', 'grate']","['41', '77']",18020,17709,18022,P01_01
"['carrot', 'grate']","['41', '77']",19106,18066,19170,P01_01
"['grater', 'put']","['96', '1']",19193,19185,19208,P01_01
"['carrot', 'throw']","['41', '13']",19261,19254,19285,P01_01
"['grater', 'take']","['96', '0']",19347,19335,19360,P01_01
"['grater', 'put']","['96', '1']",19494,19490,19523,P01_01
"['carrot', 'throw']","['41', '13']",19611,19583,19615,P01_01
"['board:chopping', 'take']","['18', '0']",1375,1296,1399,P01_01
"['spatula', 'take']","['20', '0']",19654,19643,19673,P01_01
"['vegetable', 'mix']","['94', '10']",19722,19672,19829,P01_01
"['cupboard', 'open']","['3', '3']",19889,19877,19907,P01_01
"['pan', 'take']","['5', '0']",19934,19907,19959,P01_01
"['pan', 'put']","['5', '1']",20131,20019,20225,P01_01
"['hob', 'turn']","['24', '23']",20309,20250,20310,P01_01
"['kettle', 'take']","['44', '0']",20466,20385,20469,P01_01
"['water', 'pour']","['27', '9']",20542,20502,20921,P01_01
"['water', 'look']","['27', '38']",20688,20597,20747,P01_01
"['kettle', 'put']","['44', '1']",21042,20972,21057,P01_01
"['board:chopping', 'put']","['18', '1']",1406,1394,1434,P01_01
"['oil', 'take']","['31', '0']",21161,21116,21162,P01_01
"['oil', 'pour']","['31', '9']",21254,21236,21392,P01_01
"['oil', 'close']","['31', '4']",21407,21394,21492,P01_01
"['oil', 'put']","['31', '1']",21502,21495,21535,P01_01
"['spatula', 'take']","['20', '0']",21554,21538,21564,P01_01
"['board:chopping', 'take']","['18', '0']",21595,21571,21601,P01_01
"['onion', 'pour']","['16', '9']",21636,21614,21671,P01_01
"['board:chopping', 'put']","['18', '1']",21675,21674,21707,P01_01
"['vegetable', 'mix']","['94', '10']",21737,21711,21944,P01_01
"['vegetable', 'mix']","['94', '10']",22081,21911,22502,P01_01
"['cupboard', 'close']","['3', '4']",1458,1433,1463,P01_01
