class,class_index,point,start_frame,stop_frame,video_id
"['cupboard', 'open']","['3', '3']",33,4,101,P01_01
"['plate', 'put']","['2', '1']",15155,15140,15238,P01_01
"['drawer', 'take']","['8', '0']",15281,15279,15346,P01_01
"['carrot', 'grate']","['41', '77']",17653,17611,17867,P01_01
"['carrot', 'grate']","['41', '77']",18670,18066,19170,P01_01
"['board:chopping', 'take']","['18', '0']",1323,1296,1399,P01_01
"['pan', 'take']","['5', '0']",19930,19907,19959,P01_01
"['pan', 'put']","['5', '1']",20096,20019,20225,P01_01
"['vegetable', 'mix']","['94', '10']",22159,21911,22502,P01_01
"['vegetable', 'mix']","['94', '10']",23129,23108,23140,P01_01
"['vegetable', 'mix']","['94', '10']",24192,23680,24590,P01_01
"['cupboard', 'take']","['3', '0']",24675,24672,24755,P01_01
"['knife', 'take']","['4', '0']",1639,1605,1680,P01_01
"['rice', 'open']","['55', '3']",24909,24877,25059,P01_01
"['vegetable', 'mix']","['94', '10']",25600,25421,25923,P01_01
"['tofu', 'cut']","['81', '7']",26129,26126,26253,P01_01
"['container', 'take']","['21', '0']",27161,27158,27246,P01_01
"['rice', 'pour']","['55', '9']",28082,27953,28128,P01_01
"['vegetable', 'mix']","['94', '10']",30626,30617,30752,P01_01
"['glass', 'put']","['10', '1']",31343,31207,31460,P01_01
"['vegetable', 'mix']","['94', '10']",33250,32971,33938,P01_01
"['rice', 'wait']","['55', '72']",36109,35493,36359,P01_01
"['spatula', 'put']","['20', '1']",36657,36456,36775,P01_01
"['courgette', 'wash']","['76', '2']",2041,1956,2194,P01_01
"['vegetable', 'mix']","['94', '10']",38695,38687,38888,P01_01
"['rice', 'wait']","['55', '72']",40228,40211,40605,P01_01
"['rice', 'pour']","['55', '9']",47062,46825,47213,P01_01
"['rice', 'scoop']","['55', '16']",46894,46876,46928,P01_01
"['rice', 'pour']","['55', '9']",46933,46931,46984,P01_01
"['rice', 'scoop']","['55', '16']",47032,46994,47054,P01_01
"['rice', 'scoop']","['55', '16']",48084,48020,48181,P01_01
"['pan', 'take']","['5', '0']",2926,2858,2987,P01_01
"['rice', 'scoop']","['55', '16']",48398,48187,48562,P01_01
"['hob', 'turn-on']","['24', '6']",3731,3664,3809,P01_01
"['courgette', 'cut']","['76', '7']",4122,3930,4374,P01_01
"['courgette', 'cut']","['76', '7']",5059,4973,5408,P01_01
"['celery', 'wash']","['223', '2']",9242,9038,9465,P01_01
"['tofu', 'take']","['81', '0']",565,546,634,P01_01
"['celery', 'cut']","['223', '7']",9957,9848,10142,P01_01
"['celery', 'take']","['223', '0']",10546,10420,10614,P01_01
"['onion', 'take']","['16', '0']",11474,11446,11546,P01_01
"['container', 'close']","['21', '4']",11593,11564,11651,P01_01
"['water', 'pour']","['27', '9']",13133,13110,13295,P01_01
"['carrot', 'take']","['41', '0']",734,734,838,P01_01
"['vegetable', 'mix']","['94', '10']",13831,13667,13942,P01_01
"['plate', 'take']","['2', '0']",156,152,205,P01_02
"['liquid:washing', 'pour']","['22', '9']",923,906,974,P01_02
"['cloth', 'take']","['17', '0']",10006,9999,10022,P01_02
"['sponge', 'squeeze']","['9', '18']",10219,10025,10283,P01_02
"['cloth', 'wash']","['17', '2']",10296,10286,10413,P01_02
"['cloth', 'squeeze']","['17', '18']",10440,10416,10476,P01_02
"['sink', 'wash']","['63', '2']",10502,10464,10569,P01_02
"['sink', 'wash']","['63', '2']",10643,10471,10770,P01_02
"['cloth', 'squeeze']","['17', '18']",10613,10572,10647,P01_02
"['top', 'wash']","['42', '2']",10964,10946,11024,P01_02
"['top', 'wash']","['42', '2']",11157,11027,11302,P01_02
"['sponge', 'squeeze']","['9', '18']",985,974,1066,P01_02
"['bin', 'open']","['36', '3']",11338,11331,11369,P01_02
"['bin', 'close']","['36', '4']",11437,11394,11459,P01_02
"['oven', 'wash']","['46', '2']",11502,11501,11613,P01_02
"['oven', 'wash']","['46', '2']",11664,11613,11801,P01_02
"['oven', 'wash']","['46', '2']",12136,11804,12224,P01_02
