class,class_index,start_frame,stop_frame,video_id,point
Billiards,2,2025,2277,video_validation_0000051,2070
Billiards,2,2577,2718,video_validation_0000051,2744
Billiards,2,4179,4446,video_validation_0000051,4421
Billiards,2,729,744,video_validation_0000052,734
Billiards,2,273,414,video_validation_0000053,410
Billiards,2,672,744,video_validation_0000053,755
Billiards,2,1029,1203,video_validation_0000053,1044
Billiards,2,1491,1590,video_validation_0000053,1530
Billiards,2,1908,2055,video_validation_0000053,2064
Billiards,2,2238,2418,video_validation_0000053,2279
Billiards,2,2655,2721,video_validation_0000053,2746
Billiards,2,2901,2976,video_validation_0000053,2936
Billiards,2,3381,3414,video_validation_0000053,3416
Billiards,2,3735,3900,video_validation_0000053,3750
Billiards,2,4152,4380,video_validation_0000053,4275
Billiards,2,4584,4683,video_validation_0000053,4607
Billiards,2,4917,4992,video_validation_0000053,4970
Billiards,2,5277,5430,video_validation_0000053,5297
Billiards,2,5664,5814,video_validation_0000053,5702
Billiards,2,3807,3828,video_validation_0000054,3825
Billiards,2,615,768,video_validation_0000055,702
Billiards,2,1404,1548,video_validation_0000055,1512
Billiards,2,1758,2031,video_validation_0000055,1849
Billiards,2,2187,2316,video_validation_0000055,2308
Billiards,2,2568,2727,video_validation_0000055,2694
Billiards,2,2853,2988,video_validation_0000055,2888
Billiards,2,3126,3252,video_validation_0000055,3114
Billiards,2,3504,3651,video_validation_0000055,3633
Billiards,2,3822,3993,video_validation_0000055,3982
Billiards,2,522,729,video_validation_0000056,501
Billiards,2,822,1062,video_validation_0000056,837
Billiards,2,1515,1581,video_validation_0000056,1586
Billiards,2,1803,1878,video_validation_0000056,1886
Billiards,2,2163,2187,video_validation_0000056,2139
Billiards,2,2550,2580,video_validation_0000056,2584
Billiards,2,2742,2844,video_validation_0000056,2838
Billiards,2,3054,3204,video_validation_0000056,3072
Billiards,2,3624,3705,video_validation_0000056,3603
Billiards,2,3747,3801,video_validation_0000056,3768
Billiards,2,3936,3954,video_validation_0000056,3976
Billiards,2,282,351,video_validation_0000057,303
Billiards,2,1311,1428,video_validation_0000057,1441
Billiards,2,2103,2211,video_validation_0000057,2130
Billiards,2,2412,2499,video_validation_0000057,2474
Billiards,2,2745,2904,video_validation_0000057,2833
Billiards,2,3144,3213,video_validation_0000057,3213
Billiards,2,3381,3528,video_validation_0000057,3505
Billiards,2,4209,4272,video_validation_0000057,4219
Billiards,2,4452,4503,video_validation_0000057,4458
Billiards,2,4791,4899,video_validation_0000057,4900
Billiards,2,5574,5670,video_validation_0000057,5622
Billiards,2,5895,6057,video_validation_0000057,5875
Billiards,2,6474,6624,video_validation_0000057,6530
Billiards,2,327,348,video_validation_0000058,307
Billiards,2,2487,2529,video_validation_0000058,2542
Billiards,2,3426,3477,video_validation_0000058,3493
Billiards,2,3711,3786,video_validation_0000058,3800
Billiards,2,147,201,video_validation_0000059,218
Billiards,2,768,816,video_validation_0000059,817
Billiards,2,1278,1329,video_validation_0000059,1314
Billiards,2,2055,2109,video_validation_0000059,2124
Billiards,2,2484,2532,video_validation_0000059,2556
Billiards,2,2724,2739,video_validation_0000059,2720
Billiards,2,3126,3144,video_validation_0000059,3166
Billiards,2,3363,3390,video_validation_0000059,3358
Billiards,2,3690,3741,video_validation_0000059,3702
Billiards,2,3978,4020,video_validation_0000059,3991
Billiards,2,4365,4392,video_validation_0000059,4411
Billiards,2,5118,5160,video_validation_0000059,5152
Billiards,2,5499,5514,video_validation_0000059,5494
Billiards,2,6021,6135,video_validation_0000059,6108
Billiards,2,6402,6450,video_validation_0000059,6439
Billiards,2,717,936,video_validation_0000060,921
Billiards,2,1506,1698,video_validation_0000060,1674
Billiards,2,1803,1905,video_validation_0000060,1924
Billiards,2,2211,2301,video_validation_0000060,2309
Billiards,2,3030,3150,video_validation_0000060,3105
Billiards,2,3696,3837,video_validation_0000060,3804
Billiards,2,4005,4092,video_validation_0000060,4037
Billiards,2,4248,4359,video_validation_0000060,4241
Billiards,2,4476,4563,video_validation_0000060,4557
CleanAndJerk,3,306,687,video_validation_0000151,366
CleanAndJerk,3,384,852,video_validation_0000152,483
CleanAndJerk,3,1680,1878,video_validation_0000152,1868
CleanAndJerk,3,2943,3744,video_validation_0000152,3425
CleanAndJerk,3,129,327,video_validation_0000153,324
CleanAndJerk,3,489,633,video_validation_0000153,639
CleanAndJerk,3,855,1104,video_validation_0000153,1042
CleanAndJerk,3,1686,2190,video_validation_0000153,2023
CleanAndJerk,3,2571,3030,video_validation_0000153,2641
CleanAndJerk,3,3642,4248,video_validation_0000153,3969
CleanAndJerk,3,162,348,video_validation_0000154,173
CleanAndJerk,3,390,591,video_validation_0000154,556
CleanAndJerk,3,642,879,video_validation_0000154,757
CleanAndJerk,3,1068,1356,video_validation_0000155,1208
CleanAndJerk,3,105,321,video_validation_0000156,340
CleanAndJerk,3,585,816,video_validation_0000156,580
CleanAndJerk,3,3504,3645,video_validation_0000156,3594
CleanAndJerk,3,3816,4002,video_validation_0000156,3855
CleanAndJerk,3,4347,4542,video_validation_0000156,4328
CleanAndJerk,3,4944,5217,video_validation_0000156,4961
CleanAndJerk,3,5541,5787,video_validation_0000156,5641
CleanAndJerk,3,6783,7038,video_validation_0000156,7006
CleanAndJerk,3,9,288,video_validation_0000157,118
CleanAndJerk,3,321,1488,video_validation_0000157,584
CleanAndJerk,3,117,483,video_validation_0000158,262
CleanAndJerk,3,732,1038,video_validation_0000158,1042
CleanAndJerk,3,1410,4953,video_validation_0000158,4287
CleanAndJerk,3,6456,6729,video_validation_0000158,6579
CleanAndJerk,3,7074,7326,video_validation_0000158,7188
CleanAndJerk,3,7470,7764,video_validation_0000158,7763
CleanAndJerk,3,7881,8184,video_validation_0000158,7914
CleanAndJerk,3,1056,1548,video_validation_0000159,1081
CleanAndJerk,3,2964,3696,video_validation_0000159,3656
CleanAndJerk,3,4014,4089,video_validation_0000159,4039
CleanAndJerk,3,6909,7383,video_validation_0000159,6948
CleanAndJerk,3,7995,8220,video_validation_0000159,8109
CleanAndJerk,3,11046,11658,video_validation_0000159,11512
CleanAndJerk,3,12006,12348,video_validation_0000159,12207
CleanAndJerk,3,1389,2019,video_validation_0000160,1885
CleanAndJerk,3,2847,3255,video_validation_0000160,2849
CleanAndJerk,3,7134,7656,video_validation_0000160,7508
CleanAndJerk,3,9036,9588,video_validation_0000160,9230
CliffDiving,4,339,423,video_validation_0000161,344
Diving,7,339,423,video_validation_0000161,440
CliffDiving,4,630,717,video_validation_0000161,605
Diving,7,630,717,video_validation_0000161,722
CliffDiving,4,792,882,video_validation_0000161,840
Diving,7,792,882,video_validation_0000161,891
CliffDiving,4,1527,1662,video_validation_0000161,1531
Diving,7,1527,1662,video_validation_0000161,1658
CliffDiving,4,1,84,video_validation_0000162,47
Diving,7,1,84,video_validation_0000162,94
CliffDiving,4,321,357,video_validation_0000162,307
Diving,7,321,357,video_validation_0000162,368
CliffDiving,4,1194,1293,video_validation_0000162,1192
Diving,7,1194,1293,video_validation_0000162,1238
CliffDiving,4,2016,2100,video_validation_0000162,2050
Diving,7,2016,2100,video_validation_0000162,2065
CliffDiving,4,2373,2469,video_validation_0000162,2349
Diving,7,2373,2469,video_validation_0000162,2489
CliffDiving,4,2526,2628,video_validation_0000162,2631
Diving,7,2526,2628,video_validation_0000162,2584
CliffDiving,4,2637,2721,video_validation_0000162,2643
Diving,7,2637,2721,video_validation_0000162,2747
CliffDiving,4,2751,2838,video_validation_0000162,2754
Diving,7,2751,2838,video_validation_0000162,2839
CliffDiving,4,3264,3384,video_validation_0000162,3263
Diving,7,3264,3384,video_validation_0000162,3371
CliffDiving,4,3462,3546,video_validation_0000162,3452
Diving,7,3462,3546,video_validation_0000162,3522
CliffDiving,4,3564,3660,video_validation_0000162,3657
Diving,7,3564,3660,video_validation_0000162,3622
CliffDiving,4,3678,3762,video_validation_0000162,3690
Diving,7,3678,3762,video_validation_0000162,3694
CliffDiving,4,3783,3969,video_validation_0000162,3775
Diving,7,3783,3969,video_validation_0000162,3886
CliffDiving,4,4305,4401,video_validation_0000162,4309
Diving,7,4305,4401,video_validation_0000162,4311
CliffDiving,4,4446,4539,video_validation_0000162,4441
Diving,7,4446,4539,video_validation_0000162,4454
CliffDiving,4,4575,4653,video_validation_0000162,4640
Diving,7,4575,4653,video_validation_0000162,4595
CliffDiving,4,4674,4755,video_validation_0000162,4656
Diving,7,4674,4755,video_validation_0000162,4769
CliffDiving,4,4923,5013,video_validation_0000162,4923
Diving,7,4923,5013,video_validation_0000162,4993
CliffDiving,4,5025,5097,video_validation_0000162,5011
Diving,7,5025,5097,video_validation_0000162,5026
CliffDiving,4,5103,5193,video_validation_0000162,5154
Diving,7,5103,5193,video_validation_0000162,5182
CliffDiving,4,5298,5388,video_validation_0000162,5294
Diving,7,5298,5388,video_validation_0000162,5315
CliffDiving,4,1116,1236,video_validation_0000163,1206
Diving,7,1116,1236,video_validation_0000163,1212
CliffDiving,4,1608,1728,video_validation_0000163,1660
Diving,7,1608,1728,video_validation_0000163,1668
CliffDiving,4,2820,2943,video_validation_0000163,2908
Diving,7,2820,2943,video_validation_0000163,2911
CliffDiving,4,3138,3219,video_validation_0000163,3130
Diving,7,3138,3219,video_validation_0000163,3247
CliffDiving,4,3837,3945,video_validation_0000163,3824
Diving,7,3837,3945,video_validation_0000163,3916
CliffDiving,4,4461,4710,video_validation_0000163,4542
Diving,7,4461,4710,video_validation_0000163,4566
CliffDiving,4,5184,5310,video_validation_0000163,5283
Diving,7,5184,5310,video_validation_0000163,5291
CliffDiving,4,2808,2871,video_validation_0000164,2862
Diving,7,2808,2871,video_validation_0000164,2893
CliffDiving,4,3069,3174,video_validation_0000164,3083
Diving,7,3069,3174,video_validation_0000164,3151
CliffDiving,4,3285,3354,video_validation_0000164,3314
Diving,7,3285,3354,video_validation_0000164,3345
CliffDiving,4,4005,4092,video_validation_0000164,4074
Diving,7,4005,4092,video_validation_0000164,4098
CliffDiving,4,1221,1377,video_validation_0000165,1300
Diving,7,1221,1377,video_validation_0000165,1355
CliffDiving,4,1446,1533,video_validation_0000165,1528
Diving,7,1446,1533,video_validation_0000165,1533
CliffDiving,4,1749,1845,video_validation_0000165,1766
Diving,7,1749,1845,video_validation_0000165,1801
CliffDiving,4,1989,2079,video_validation_0000165,2013
Diving,7,1989,2079,video_validation_0000165,2091
CliffDiving,4,2682,2865,video_validation_0000165,2668
Diving,7,2682,2865,video_validation_0000165,2835
CliffDiving,4,2349,2484,video_validation_0000166,2365
Diving,7,2349,2484,video_validation_0000166,2395
CliffDiving,4,2514,2571,video_validation_0000166,2486
Diving,7,2514,2571,video_validation_0000166,2547
CliffDiving,4,2718,2889,video_validation_0000166,2735
Diving,7,2718,2889,video_validation_0000166,2839
CliffDiving,4,3048,3150,video_validation_0000166,3045
Diving,7,3048,3150,video_validation_0000166,3131
CliffDiving,4,3402,3504,video_validation_0000166,3439
Diving,7,3402,3504,video_validation_0000166,3461
CliffDiving,4,186,438,video_validation_0000167,268
Diving,7,186,438,video_validation_0000167,342
CliffDiving,4,450,648,video_validation_0000167,461
Diving,7,450,648,video_validation_0000167,590
CliffDiving,4,660,816,video_validation_0000167,659
Diving,7,660,816,video_validation_0000167,753
CliffDiving,4,924,1185,video_validation_0000167,1003
Diving,7,924,1185,video_validation_0000167,1199
CliffDiving,4,1320,1506,video_validation_0000167,1511
